text,label,source,collected_at,predicted_label,confidence,needs_review,corrected_label
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6556,True,positive
"if you're a crocodile hunter fan , you'll enjoy at least the "" real "" portions of the film . if you're looking for a story , don't bother .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.667,True,negative
"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5525,True,positive
generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5051,True,positive
"this familiar rise-and-fall tale is long on glamour and short on larger moralistic consequences , though it's told with sharp ears and eyes for the tenor of the times .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.633,True,positive
that frenetic spectacle [on the tv show] has usually been leavened by a charm that's conspicuously missing from the girls' big-screen blowout .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5042,True,negative
much of all about lily chou-chou is mesmerizing : some of its plaintiveness could make you weep .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5569,True,positive
"at times auto focus feels so distant you might as well be watching it through a telescope . yet in its own aloof , unreachable way it's so fascinating you won't be able to look away for a second .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5176,True,positive
"beers , who , when she's given the right lines , can charm the paint off the wall . . . [but] the script goes wrong at several key junctures .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5773,True,negative
a solid examination of the male midlife crisis .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.691,True,positive
"by candidly detailing the politics involved in the creation of an extraordinary piece of music , [jones] calls our attention to the inherent conflict between commerce and creativity .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6522,True,positive
there are moments it can be heart-rending in an honest and unaffected ( and gentle ) way .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5302,True,positive
tries to add some spice to its quirky sentiments but the taste is all too familiar .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5273,True,negative
a benign but forgettable sci-fi diversion .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6458,True,negative
a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5756,True,positive
"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6893,True,positive
"there's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6424,True,positive
". . . routine , harmless diversion and little else .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6077,True,negative
deliciously slow .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6136,True,positive
"a restrained ribisi convinces as an italian , though if ever a movie needed one of the actor's whiny jags to pump it up , this has to be among the rare ones .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5093,True,negative
"'frailty "" starts out like a typical bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5933,True,positive
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you're going from one room to the next and none of them have any relation to the other .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5404,True,positive
"it's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6773,True,positive
"a deceivingly simple film , one that grows in power in retrospect .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5465,True,positive
"a teasing drama whose relentless good-deed/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.555,True,positive
"while dutifully pulling on heartstrings , directors dean deblois and chris sanders valiantly keep punching up the mix .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.566,True,positive
[a] devastatingly powerful and astonishingly vivid holocaust drama .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5727,True,positive
"acting , particularly by tambor , almost makes "" never again "" worthwhile , but [writer/director] schaeffer should follow his titular advice",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6236,True,negative
"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5424,True,negative
"screenwriter chris ver weil's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6265,True,negative
"an honest , sensitive story from a vietnamese point of view .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5765,True,positive
the script ? please .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5607,True,negative
"earns its laughs from stock redneck 'types' and from the many , many moments when we recognize even without the elizabethan prose , the play behind the thing .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6562,True,positive
"filmmaker stacy peralta has a flashy editing style that doesn't always jell with sean penn's monotone narration , but he respects the material without sentimentalizing it .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6857,True,positive
