text,label,source,collected_at
"Censorship
Science Apologist-
   I do not know of any Wiki rule or policy that gives one editor the right to censor the contribution of another editor. If you have a problem with the contribution I am trying to make to the Clairvoyance article, please intelligently and articulately communicate your concerns on my Talk page. Simply clicking on Undo, as you have done before, is not science. It is censorship. If it continues I will have to commence DR action. Best wishes. RAmesbury",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"""

It will be really cool if someone can get the photo of """"Shaktiman"""", the huge crane that smashed into the Karnaphuli Bridge and broke it into two halves.  """,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"""

What? Why? This is crazy. If you look just above, I did not even respond to the personal attacks of the guy who came here to called me """"drama queen"""" and """"fanboy"""" with a """"little heart"""". I just told him to """"stop"""" (on his talk page) - I didn't even report him (but maybe now I do... okay, name's """"Otto4711"""", as you see - what now?).  

Or do you mean the guy who came here accusing me of """"engaging in sockpuppetry"""" - this after I stated I don't care anymore and I even unwatched this article, and for sure did not edit in ANY way? If so, I'm going to his page and say he's """"engaging in bestiality"""" and demand him to stop - same grounding in facts, probably, but I see stupid accusations are perfectly okay, just saying they're in fact """"stupid"""" is a crime of some sort. 

If none of these, then I just have no idea.  

Category:Requests for unblock""",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"37, 7 December 2010 (UTC) PMAnderson 19:",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"fuck you 

Wanker",1,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"""
That's fine. However, you've all said your piece - move along or I will block you. Consider this your final warning for harassment.   |  39 """,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"|decline=Under the circumstances, I suggest that you consider following the Standard Offer approach.",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"""

"""" if you're going to take it as an insult when it happens (and it will happen again), and respond in a heated manner, then you're going to find it very hard to fit in and continue to work in the Wikipedia community.""""

I think you misunderstood, since you are suppose to give a reason when you remove or edit stuff, when you give no reasons it seems you are trying to establish some form chaotic situation, where edit wars prevail. You can go and look back at the Muhammad edit that I was doing in User Nein's talk page to see that the situation was resolved very quickly and understanding while user kww used madding tactics in my sacred talk page which I responded with a heated manner in his talk page. I warned him and advised him to take it to the Muhammad talk page, since he is a high ranking member and I';m at the bottom, he gets to dictate what he wants and influence the decisions of others   """,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"""

 use of """"states"""" in the intro 

The article has for about two years used the uncontroversial and neutral """"regions"""" to refer to the two entities. I don't understand why some editors are trying to change that into """"states"""" now. Since the very statehood is disputed, using states unexplained is obviously POV. In fact, the very first sentence says so itself """"disputed status over whether they are a part of Georgia or sovereign states"""". Writing """"are states"""" is just as wrong as writing """"are parts of Georgia"""" would be.   """,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
. I've been very happyu with editors like A Quest for Knowledge and Gigs. Both seem to have a genuine search for truth and I wish we could rely on them to settle disagreements,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
Your change  was determined to be unhelpful and has been reverted or removed. Please use the sandbox for any tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia. Thanks. FreplySpang,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"I suppose, you probably spent all your money on Star wars books so had no money for condoms. It all makes sense now, your not stupid just ignorantly poor.",1,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"Jimmy, Will ignore this",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"""

You don't know the clan of """"most of those people"""" because that's what happens when people stick their nose in something they know nothing about.

1st row: 
Muhammad Abdullah Hassan - Darood
Fatima Jibrell - Darood 
Mohamed Abdullahi Mohamed - Darood
Asli Hassan Abade - Darood
2nd row: 
Hanan Ibrahim - Isaaq
Hadraawi - Isaaq
Iman - Darood 
Sultan Yusuf Ali Kenadid - Darood
Aar Maanta - Darood
Sultan Mohamoud Ali Shire - Darood
Osman Yusuf Kenadid - Darood
Nuruddin Farah - Darood

I hope you know now. Not a single Hawiye person—who have contributed to Somaia the most and are the most dominant clan there military, politically and financially because someone has a grudge and has decided to exercise it through cheap propaganda.   """,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
Stay out of it it's none of your business,1,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"All I'm asking is that you read the points I'm making and respond to them. There is no need to get uncivil again. I apologize for my prior behavior, but given the fact that many people within the team have clearly stated that the name will be changed, and given that we use such sources for like 80% of the content in this article, I simply fail to see how we can do anything but include the team name (for 2016, NOT 2015, NOT the present team name) as TBA.",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"Hypocrite  

You are the biggest hypocrite ever. I did not constantly harass you and there weren't 3 editors. Not counting you there was one. Another said it wasn't the best idea but it wasn't vandalism. 74.89.58.36",1,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"Please disregard any comments below. I do not mean these comments and these warnings aren't fo real, jeez. Ok?-CFred",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"Welcome!

Hello, CourtneyBradshaw84, and welcome to Wikipedia! Thank you for your contributions. I hope you like the place and decide to stay. Here are some pages that you might find helpful:
The five pillars of Wikipedia
Tutorial
How to edit a page and How to develop articles
How to create your first article (using the Article Wizard if you wish)
Manual of Style
I hope you enjoy editing here and being a Wikipedian! Please sign your messages on discussion pages using four tildes (~~~~); this will automatically insert your username and the date. If you need help, check out Wikipedia:Questions, ask me on my talk page, or ask your question on this page and then place {{help me}} before the question. Again, welcome!    WikHead",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"Obama edit war 

Whether or not you agree with the changes, is it really a good idea to perpetuate the edit war? I suggest you self-revert and then discuss on the talk page.",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
comment about an error on the main page to WP:ERRORS?,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"The article did include his real name and it is Steven Mitchell.  The online article was edited on 19 November 2014 and the name mysteriously disappeared.  However, the Internet Archive version remains the same , and the version in the Infotrac datbase remains as a copy of the print version, and it clearly states his name (which is Steven Mitchell).  Printed copies in libraries remain as they were printed.  This is corroborated by the London Gazette medals and books on the B20 patrol.",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"As for undue weight, the current article obviously has a lot of WP:UNDUE issues by medicalizing a general term.",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"Stop ur bullying attitude or go somewhere else 

what do u know of sikhism or famous sikhs,being in the habbit of reverting everything that u don't like is ur problem not mine. Also show this attitude somewhere else, not on me. What i edited was 100% right and was required for cleanup and maintaining correctness of the article.I am born and brought up in punjab and i'm here from last 25 years, Who the hell are you to decide what's wrong and what's right. Go and do some research first on sikhism and then talk to me.",0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
Wikipedia works on reliable sources - nothing else.,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
"""
Very simple. Wikipedia is licensed under CC-BY-SA 3.0. If you add Public Domain entries without identifying them as such you are in effect removing them from PD and making them CC-BY-SA. That's a contradiction - public domain """"stuff"""" cannot be pulled back to a more restrictive licence (which CC-BY-SA, GNU et.al are). If it's PD it's quoted/intact or re-written / modified.    Chat   """,0,hf_thesofakillers/jigsaw-toxic-comment-classification-challenge,2026-03-26T15:23:44.890767+00:00
