text,label,source,collected_at,predicted_label,confidence,needs_review,corrected_label
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6556,True,
"if you're a crocodile hunter fan , you'll enjoy at least the "" real "" portions of the film . if you're looking for a story , don't bother .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.667,True,
"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5525,True,
generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5051,True,
"this familiar rise-and-fall tale is long on glamour and short on larger moralistic consequences , though it's told with sharp ears and eyes for the tenor of the times .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.633,True,
that frenetic spectacle [on the tv show] has usually been leavened by a charm that's conspicuously missing from the girls' big-screen blowout .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5042,True,
much of all about lily chou-chou is mesmerizing : some of its plaintiveness could make you weep .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5569,True,
"at times auto focus feels so distant you might as well be watching it through a telescope . yet in its own aloof , unreachable way it's so fascinating you won't be able to look away for a second .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5176,True,
"beers , who , when she's given the right lines , can charm the paint off the wall . . . [but] the script goes wrong at several key junctures .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5773,True,
a solid examination of the male midlife crisis .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.691,True,
"by candidly detailing the politics involved in the creation of an extraordinary piece of music , [jones] calls our attention to the inherent conflict between commerce and creativity .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6522,True,
there are moments it can be heart-rending in an honest and unaffected ( and gentle ) way .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5302,True,
tries to add some spice to its quirky sentiments but the taste is all too familiar .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5273,True,
a benign but forgettable sci-fi diversion .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6458,True,
a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5756,True,
"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6893,True,
"there's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6424,True,
". . . routine , harmless diversion and little else .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6077,True,
deliciously slow .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6136,True,
"a restrained ribisi convinces as an italian , though if ever a movie needed one of the actor's whiny jags to pump it up , this has to be among the rare ones .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5093,True,
"'frailty "" starts out like a typical bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5933,True,
