text,label,source,collected_at,predicted_label,confidence,needs_review,final_label,corrected_label
. . . plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9854,False,negative,
"michael moore has perfected the art of highly entertaining , self-aggrandizing , politically motivated documentary-making , and he's got as potent a topic as ever here .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.9176,False,positive,
. . . too gory to be a comedy and too silly to be an effective horror film .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9932,False,negative,
"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.9612,False,positive,
the fact that the 'best part' of the movie comes from a 60-second homage to one of demme's good films doesn't bode well for the rest of it .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9846,False,negative,
"the thriller side of this movie is falling flat , as the stalker doesn't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9957,False,negative,
more maudlin than sharp .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9736,False,negative,
shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors . . .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9931,False,negative,
"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9846,False,negative,
"haneke keeps us at arm's length . guided more by intellect than heart , his story flattens instead of sharpens .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9853,False,negative,
"one of the smarter offerings the horror genre has produced in recent memory , even if it's far tamer than advertised .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.9939,False,positive,
. . . somehow manages to escape the shackles of its own clichés to be the best espionage picture to come out in weeks .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.9666,False,positive,
"if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9438,False,negative,
"high crimes carries almost no organic intrigue as a government/ marine/legal mystery , and that's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.9574,False,negative,
