text,label,source,collected_at
. . . plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"michael moore has perfected the art of highly entertaining , self-aggrandizing , politically motivated documentary-making , and he's got as potent a topic as ever here .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
. . . too gory to be a comedy and too silly to be an effective horror film .,negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
the fact that the 'best part' of the movie comes from a 60-second homage to one of demme's good films doesn't bode well for the rest of it .,negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"the thriller side of this movie is falling flat , as the stalker doesn't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
more maudlin than sharp .,negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors . . .,negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"haneke keeps us at arm's length . guided more by intellect than heart , his story flattens instead of sharpens .",negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .,positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"one of the smarter offerings the horror genre has produced in recent memory , even if it's far tamer than advertised .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
. . . somehow manages to escape the shackles of its own clichés to be the best espionage picture to come out in weeks .,positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"high crimes carries almost no organic intrigue as a government/ marine/legal mystery , and that's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
the pace and the visuals are so hyped up that a curious sense of menace informs everything .,negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"you might not want to hang out with samantha , but you'll probably see a bit of yourself in her unfinished story .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . it's a buggy drag .",negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"if you're a crocodile hunter fan , you'll enjoy at least the "" real "" portions of the film . if you're looking for a story , don't bother .",negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"deflated ending aside , there's much to recommend the film .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"not always too whimsical for its own good ( but enough to do harm ) , this strange hybrid of crime thriller , quirky character study , third-rate romance and female empowerment fantasy never really finds the tonal or thematic glue it needs .",negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
one thing you have to give them credit for : the message of the movie is consistent with the messages espoused in the company's previous video work .,positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"it's weird , wonderful , and not necessarily for kids .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
fear dot com is more frustrating than a modem that disconnects every 10 seconds .,negative,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
perhaps the best sports movie i've ever seen .,positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"a terrific b movie -- in fact , the best in recent memory .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
thoroughly enjoyable .,positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
"it's a smart , solid , kinetically-charged spy flick worthy of a couple hours of summertime and a bucket of popcorn . nothing overly original , mind you , but solidly entertaining .",positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
japanese director shohei imamura's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,positive,hf_rotten_tomatoes,2026-03-26T15:15:45.442130+00:00
