text,label,source,collected_at
Can I back at a dollar for access to the Pledge Manager?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello! I hope you're doing well. I've noticed your campaign, and it's clear you've been doing a fantastic job. Let's have a more in-depth conversation about how we can enhance the success of your campaign.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"GETTING MORE BACKERS TO YOUR PROJECT ON KICKSTARTER

Hello, 

How are you doing? Prior to your campaign that caught my eyes moment ago, We are group of well experienced crowdfunding experts hence, we will help you to get more investors to your campaign before the time runs out on the platform. And the donation is guaranteed if you follow my strategy 

Are you curious about this? Hit me up and let us have a minute discussion

Thanks",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello,

I couldn't find a way to contact you guys through Twitter so I have a question. The description says there's no predestined way the MC will look cause they will have bandaged hands, but the bandaged hands in the preview aren't even completely bandaged. You can see that the MC has black skin so wouldn't that make your whole point moot? The MC is a black person so it's no longer a self-insert. I identify as Indigenous not black so I was wondering if the bandaged hands will be redrawn to be completely bandaged to give the illusion of any hair, skin, race, etc for the final product. 

Thank you",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
can I still pledge or no,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello
I am already backer of your previous scanner yet no the range. 
I was wondering if you would plan to launch a scanner that could help capture the volume of a house or a flat? I know it does exist already and I use the service of a company to scan my whole house before starting heavy works but I would be very interested to get my own system, especially to plan the furniture and place them. 

Thanks for your feedback

Best regards

Jean-Sebastien",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
please can i no more about this your campaign??,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello 👋.

Is this your first project here? it was interesting 🤔",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, i noticed that you do not have enough donation on your campaign which i believe must be really frustrating cuz i was in the same situation sometimes in the past before i found the perfect solution that helped me out. If you wish to grow your campaign and reach your goal before due date, i can share yo tips to support and fast-track your campaign growth.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"I don’t think this is what you meant with „cracked glass“.

This is how they arrived",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"I have friends that are interested in your campaign and they want to donate $35,000 in total my question is that if they donate the $35,000 you will pay me $300


Are you cool with that?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi there,

my login into allrolledup does not work (also send you an email).

Cheers,
Henning Geisler, Hamburg, Germany",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"HELLO 👋 

I'm really impressed with your project, and I admire your dedication to making it a success. I understand that it can be difficult to get people to back your project, and I'd love to share some of the strategies that helped me. My first project was a learning experience, but I was able to improve and make my second project more successful. A friend who had experience with similar projects shared their insights with me, and I'm happy to share their contact information with you. I'm confident that their knowledge and advice could be beneficial to yours

Should I proceed with his details?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, can you share me with the details information on how the $75 pledge will be delivered?",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"hi Mandi
how are you doing, how about we discuss how you can get more backers quickly",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Sorry I only read your post now, is it still possible to add Strawberry bag to my existing order? When would you be sending survey on shipping address (I don't recall inputting shipping when I backed your project).

Thanks
Ling",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello if you don't mind can we have a better discussion about how your campaign we get more backers,1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
